borough_code,borough_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean
E09000001,City of London,2358.2,2366.4,2465.6,2548.6,2550,2645,2738.7,2770.7,2811.4,2854.4,2895.4,2636.763636
E09000002,Barking and Dagenham,5393.3,5502.5,5604.5,5728.6,5830.1,5892.7,5950.5,6047.6,6134.3,6214.9,6286.4,5871.4
E09000003,Barnet,4256,4323.2,4378.3,4451.9,4512.4,4577,4638.3,4693.4,4741,4784.4,4821.9,4561.618182
E09000004,Bexley,3910.7,3963.2,4000.8,4044,4080.2,4126.7,4174.4,4208.8,4239.7,4268.8,4295.6,4119.354545
E09000005,Brent,7357.9,7438.8,7514,7612.1,7696.7,7791.8,7880.9,7953.6,8013.3,8067.6,8112.3,7767.181818
E09000006,Bromley,2121.1,2143.6,2167.5,2181,2204.1,2216.2,2226.6,2240.6,2261.1,2281.6,2299.4,2212.981818
E09000007,Camden,10542.7,10778,11063.1,11298.2,11453.1,11594.5,11727.1,11812.4,11902.4,11982.1,12046.9,11472.77273
E09000008,Croydon,4309.1,4347.1,4381.7,4419.5,4466.2,4523.5,4584.2,4627.2,4664.1,4698.1,4758,4525.336364
E09000009,Ealing,6172.5,6165.7,6182.6,6185.1,6249.5,6315.4,6376.6,6514.3,6655.7,6803.9,6946.1,6415.218182
E09000010,Enfield,3966.3,4016.4,4064.1,4100.7,4152.4,4177.8,4199.8,4243.3,4288.3,4329.9,4365.6,4173.145455
E09000011,Greenwich,5577.6,5676.2,5805.6,5910.5,5974,6049,6119.3,6178.8,6228.9,6275.4,6348.8,6013.1
E09000012,Hackney,13532.2,13835.1,14142.7,14379.8,14566.4,14790.3,15036.2,15197,15330.1,15450.2,15548.1,14709.82727
E09000013,Hammersmith and Fulham,10918.2,10898.6,10962.3,10977.2,11092.5,11224.3,11347.8,11631.1,11951.9,12282.8,12604.9,11444.69091
E09000014,Haringey,8929,9069.4,9249.2,9438,9541,9604.8,9661,9761.1,9842.8,9916.2,9975.6,9544.372727
E09000015,Harrow,4834,4886.3,4908.5,4940.6,4994.8,5060.5,5129.7,5179,5221.4,5260.3,5293.4,5064.409091
E09000016,Havering,2157.9,2192.5,2220.2,2253.1,2280,2292,2302.2,2330.5,2367,2415.4,2462.4,2297.563636
E09000017,Hillingdon,2484.4,2535.2,2578.8,2619.7,2653.7,2678.7,2701.5,2733.4,2761.1,2787.3,2810.5,2667.663636
E09000018,Hounslow,4695,4751.4,4808.6,4850.9,4912.1,4971,5025.9,5079.8,5126.1,5169.1,5206.7,4963.327273
E09000019,Islington,14540.6,14901.3,15349.7,15697.9,15842.7,16037.7,16261.3,16344.7,16448.7,16547.4,16626.2,15872.56364
E09000020,Kensington and Chelsea,12866.6,12915.8,13041.2,12960,13028.2,13139.3,13240.7,13262.4,13325,13398.7,13465.4,13149.39091
E09000021,Kingston-upon-Thames,4477.2,4562.1,4657.9,4727.2,4788.3,4819.5,4846.8,4904,4955.8,5003.4,5044.7,4798.809091
E09000022,Lambeth,11733.3,11881.5,12113.3,12243.1,12352,12485,12608.3,12693.9,12765.7,12830.3,12878.9,12416.84545
E09000023,Lewisham,8158.5,8322.2,8475.6,8604.8,8716.5,8828.7,8934.1,9031.9,9120.4,9201.4,9269.9,8787.636364
E09000024,Merton,5419.5,5427.2,5455.1,5467.5,5534.3,5566,5593.4,5652.1,5707.4,5758.5,5802,5580.272727
E09000025,Newham,8831.3,8999.7,9234.4,9459.8,9598.4,9758.6,9930.6,10043.3,10137,10221.6,10290.9,9682.327273
E09000026,Redbridge,5111.7,5196.5,5262.7,5306.3,5386.3,5422.1,5453.7,5534.7,5606.1,5672.2,5730.4,5425.7
E09000027,Richmond-upon-Thames,3333.5,3372.2,3392.1,3411.5,3448.9,3473.8,3496.2,3513.7,3541.6,3571.9,3600.8,3468.745455
E09000028,Southwark,10363.4,10504.5,10725,10874.7,11008.8,11167,11339.2,11443.8,11526.5,11600.9,11660.8,11110.41818
E09000029,Sutton,4477.1,4527.7,4573.6,4620.9,4673.8,4729.6,4781.8,4819,4865.6,4908.6,4946,4720.336364
E09000030,Tower Hamlets,13829.4,14391.8,14959,15445.3,15724.2,16035.5,16363.8,16583.5,16764.3,16926.8,17256.6,15843.65455
E09000031,Waltham Forest,6865.9,6923.2,7004.4,7124.8,7216.3,7305.8,7389.6,7473.3,7544.5,7609.5,7664.4,7283.790909
E09000032,Wandsworth,9079.6,9127.2,9197.2,9242.5,9331.4,9467.6,9596.8,9710.8,9858.2,10014.7,10164.3,9526.390909
E09000033,Westminster,10557.1,10857.4,11276.5,11523.9,11637.2,11838.6,12031.1,12099.5,12208.2,12327.2,12438.9,11708.69091
